oidName,goVarName,oid
EXT_KEY_USAGE_APPLE_CODE_SIGNING,oidExtKeyUsageAppleCodeSigning,1.2.840.113635.100.4.1
EXT_KEY_USAGE_APPLE_CODE_SIGNING_DEVELOPMENT,oidExtKeyUsageAppleCodeSigningDevelopment,1.2.840.113635.100.4.1.1
EXT_KEY_USAGE_APPLE_SOFTWARE_UPDATE_SIGNING,oidExtKeyUsageAppleSoftwareUpdateSigning,1.2.840.113635.100.4.1.2
EXT_KEY_USAGE_APPLE_CODE_SIGNING_THIRD_PARTY,oidExtKeyUsageAppleCodeSigningThirdParty,1.2.840.113635.100.4.1.3
EXT_KEY_USAGE_APPLE_RESOURCE_SIGNING,oidExtKeyUsageAppleResourceSigning,1.2.840.113635.100.4.1.4
EXT_KEY_USAGE_APPLE_ICHAT_SIGNING,oidExtKeyUsageAppleIChatSigning,1.2.840.113635.100.4.2
EXT_KEY_USAGE_APPLE_ICHAT_ENCRYPTION,oidExtKeyUsageAppleIChatEncryption,1.2.840.113635.100.4.3
EXT_KEY_USAGE_APPLE_SYSTEM_IDENTITY,oidExtKeyUsageAppleSystemIdentity,1.2.840.113635.100.4.4
EXT_KEY_USAGE_APPLE_CRYPTO_ENV,oidExtKeyUsageAppleCryptoEnv,1.2.840.113635.100.4.5
EXT_KEY_USAGE_APPLE_CRYPTO_PRODUCTION_ENV,oidExtKeyUsageAppleCryptoProductionEnv,1.2.840.113635.100.4.5.1
EXT_KEY_USAGE_APPLE_CRYPTO_MAINTENANCE_ENV,oidExtKeyUsageAppleCryptoMaintenanceEnv,1.2.840.113635.100.4.5.2
EXT_KEY_USAGE_APPLE_CRYPTO_TEST_ENV,oidExtKeyUsageAppleCryptoTestEnv,1.2.840.113635.100.4.5.3
EXT_KEY_USAGE_APPLE_CRYPTO_DEVELOPMENT_ENV,oidExtKeyUsageAppleCryptoDevelopmentEnv,1.2.840.113635.100.4.5.4
EXT_KEY_USAGE_APPLE_CRYPTO_QOS,oidExtKeyUsageAppleCryptoQos,1.2.840.113635.100.4.6
EXT_KEY_USAGE_APPLE_CRYPTO_TIER0_QOS,oidExtKeyUsageAppleCryptoTier0QOS,1.2.840.113635.100.4.6.1
EXT_KEY_USAGE_APPLE_CRYPTO_TIER1_QOS,oidExtKeyUsageAppleCryptoTier1QOS,1.2.840.113635.100.4.6.2
EXT_KEY_USAGE_APPLE_CRYPTO_TIER2_QOS,oidExtKeyUsageAppleCryptoTier2QOS,1.2.840.113635.100.4.6.3
EXT_KEY_USAGE_APPLE_CRYPTO_TIER3_QOS,oidExtKeyUsageAppleCryptoTier3QOS,1.2.840.113635.100.4.6.4
